"TRIP_ID","Set","Trap 1","Trap 2","Trap 3","Trap 4","Trap 5","Trap 6","Trap 7","Trap 8","Trap 9","Trap 10","Trap 11","Trap 12","Trap 13","Trap 14","Trap 15","Trap 16","Trap 17","Trap 18","Trap 19","Trap 20","Trap 21","Trap 22","Trap 23","Trap 24","Trap 25","Trap 26","Trap 27"
84250,47,"D,SD","A","T","D,SD","D,SD","T","D,SD","D,SD","T","T,SD","D,SD","T","D,SD","D,SD","T,SD","T,SD","D,SD","D,SD","T,SD","A",,"D,SD","D,SD","D,SD","T,SD",,
84250,48,"A","T","D,SD","A","T","D,SD","D,SD","T",,"A","T","D,SD","D,SD","T","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD",,
84250,49,"T","D,SD","A",,,"A","T","D,SD","A","T","D,SD","A","T","D,SD","D,SD","T",,"D,SD","T","D,SD","D,SD","T","T,SD",,"D,SD",,
84250,50,"D,SD",,"T",,"D,SD","T",,"A","T","A","A","T","D,SD","D,SD","T","D,SD","A","T","T,SD","D,SD","T","D,SD",,"T","D,SD",,
84250,51,"A","T","T,SD","A","T","T,SD","D,SD","T","D,SD","D,SD","T","D,SD","D,SD","T",,"A","T","D","T,SD","T","D,SD","A","D,SD","D,SD","D,SD",,
84250,52,"T","T,SD","A","T","D,SD","A","T","D,SD","D,SD","T","D,SD",,"T","D,SD",,"T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","D,SD","D,SD",,
84250,53,"D,SD","A","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD",,"T","D,SD","A","T","D,SD","T,SD",,"D,SD",,
84250,54,"A","T","D","A","T","D","A","T","D","A","T","D","A","T","D","D","T","D","T","T","D,SD","D","T","D","D",,
84250,55,"T","D",,"T","D",,"T","D","A","T",,,"T",,"A",,"A","A",,"A",,"T","A","A",,,
84250,56,"D,SD","A","T","D","T","A","D,SD","A","T","D","D","T","D","A","T","D,SD","A","T","D","A","T","A","A","T","D",,
84250,57,"A","T","D,SD","D,F","T","D","D,SD","T","D,SD","D,SD","T","D,SD","D,SD","T","D,F","A","T","D,SD","D","D,SD","D,SD","D,SD","D,F","D,SD","D,SD",,
84250,58,"T","D,SD","A","T","D,SD","A","T","D,SD","D,SD","T","D,SD","D,SD","T","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD","D,SD",,,
